127.0.0.1 - - [27/Jul/2018:15:55:32 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Jul/2018:15:56:44 +0800] "GET /baiHtml/jQuery/jquery3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [27/Jul/2018:15:56:45 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:00:03 +0800] "GET /baiHtml//bootstrap/css/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:00:05 +0800] "GET /baiHtml//bootstrap/css/bootstrap-responsive.min.css HTTP/1.1" 200 16840
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:11:37 +0800] "GET /baiHtml//bootstrap/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 11276
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:11:37 +0800] "GET /baiHtml//jQuery/jquery3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:11:37 +0800] "GET /baiHtml//bootstrap/js/bootstrap.min.js HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:11:37 +0800] "GET /baiHtml//bootstrap/js/bootstrap-datetimepicker.js HTTP/1.1" 200 70107
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:11:37 +0800] "GET /baiHtml//bootstrap/js/locales/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [27/Jul/2018:16:38:19 +0800] "GET /baiHtml//bootstrap/img/glyphicons-halflings.png HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [27/Jul/2018:17:36:05 +0800] "GET /baiHtml//bootstrap/css/bootstrap-responsive.min.css HTTP/1.1" 200 16840
0:0:0:0:0:0:0:1 - - [27/Jul/2018:17:36:05 +0800] "GET /baiHtml//bootstrap/css/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [27/Jul/2018:17:36:05 +0800] "GET /baiHtml//bootstrap/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 11276
0:0:0:0:0:0:0:1 - - [27/Jul/2018:17:36:05 +0800] "GET /baiHtml//jQuery/jquery3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [27/Jul/2018:17:36:05 +0800] "GET /baiHtml//bootstrap/js/locales/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [27/Jul/2018:17:36:05 +0800] "GET /baiHtml//bootstrap/js/bootstrap.min.js HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [27/Jul/2018:17:36:05 +0800] "GET /baiHtml//bootstrap/js/bootstrap-datetimepicker.js HTTP/1.1" 200 70107
0:0:0:0:0:0:0:1 - - [27/Jul/2018:17:54:28 +0800] "GET /baiHtml//bootstrap/img/glyphicons-halflings.png HTTP/1.1" 200 12799
