127.0.0.1 - - [31/Jul/2018:10:19:58 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/webpage/login/login.jsp HTTP/1.1" 200 12641
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/accordion/css/accordion.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/ace/js/ace-extra.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/ace/css/ace-fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/ace/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/ace/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/ace/css/ace.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/ace/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/jquery/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/jquery/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/mutiLang/en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/mutiLang/zh-cn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/login/js/iphone.check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/login/js/jquery.tipsy.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/login/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/ace/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/ace/css/images/pattern.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:16 +0800] "GET /Estore/plug-in/ace/font/DXI1ORHCpsQm3Vp6mXoaTXhCUOGz7vYGh680lGh-uXM.woff HTTP/1.1" 200 22656
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:17 +0800] "GET /Estore/randCodeImage HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:17 +0800] "GET /Estore/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:34 +0800] "POST /Estore/webpage/login/loginController.do?checkuser HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:34 +0800] "POST /Estore/webpage/login/loginController.do?checkuser HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:35 +0800] "POST /Estore/webpage/login/login.jsp HTTP/1.1" 200 12641
0:0:0:0:0:0:0:1 - - [31/Jul/2018:10:27:35 +0800] "POST /Estore/webpage/login/login.jsp HTTP/1.1" 200 12641
